,category,service,link,info
0,Семья,Аннулирование записей актов гражданского состояния,/cms/ru/online-services/for_citizen/pass30-2_mu,"Результат оказания услуги
При аннулировании записи акта гражданского состояния по заявлению заинтересованных лиц, а также на основании решения суда – ответ регистрирующего органа об аннулировании записи акта гражданского состояния.
При аннулировании актовых записей об установлении отцовства, усыновлении (удочерении) (c восстановлением первично сформированного индивидуально идентификационного номера), о перемене имени, фамилии и отчества - повторное свидетельство о рождении с первоначальными данными, при необходимости справка о рождении.
При аннулировании актовой записи о расторжении брака (супружества) - свидетельство о заключении соответствующего брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния, ответ регистрирующего органа об аннулировании записи акта гражданского состояния или мотивированный отказ при подаче заявления через портал.
"
1,Семья,"Внесение изменений, дополнений и исправлений в записи актов гражданского состояния",/cms/ru/online-services/for_citizen/pass192_mu,"Результат оказания услуги
1. Повторное свидетельство о рождении с внесенными изменениями, дополнениями и исправлениями.
2. Повторное свидетельство о заключении брака с внесенными изменениями, дополнениями и исправлениями.
3. Повторное свидетельство о расторжении брака с внесенными изменениями, дополнениями и исправлениями.
"
2,Семья,Возмещение затрат на обучение на дому детей с инвалидностью,/cms/ru/online-services/for_citizen/pass173_mtszn,"Результат оказания услуги
Уведомление о назначении пособия.
"
3,Семья,Восстановление записей актов гражданского состояния,/cms/ru/online-services/for_citizen/pass021_mu,"Результат оказания услуги
Свидетельство или справка о государственной регистрации акта гражданского состояния мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал.
"
4,Семья,Выдача справок для распоряжения имуществом несовершеннолетних,/cms/ru/online-services/for_citizen/207pass_mon,"Результат оказания услуги
Справка для распоряжения имуществом несовершеннолетних детей либо мотивированный ответ об отказе в оказании государственной услуги.
"
5,Семья,Выдача справок по опеке и попечительству,/cms/ru/online-services/for_citizen/206pass_mon,"Результат оказания услуги
Справка об опеке и попечительству либо мотивированный ответ об отказе в оказании государственной услуги.
"
6,Семья,Государственная регистрация заключения брака (супружества) за рубежом,/cms/ru/online-services/for_citizen/pass33-4_mid,"Результат оказания услуги
Свидетельство о заключении брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги.
"
7,Семья,Государственная регистрация расторжения брака (супружества) за рубежом,/cms/ru/online-services/for_citizen/pass33-5_mid,"Результат оказания услуги
Свидетельство о расторжении брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги.
"
8,Семья,Государственная регистрация рождения ребенка за рубежом,/cms/ru/online-services/for_citizen/pass33-2_mid,"Результат оказания услуги
Свидетельство о рождении либо мотивированный ответ об отказе в оказании государственной услуги.
"
9,Семья,Заявление на заключение брака/регистрация брака,/cms/ru/online-services/for_citizen/e_027,"Результат оказания услуги
Свидетельство о государственной регистрации заключения брака (супружества), повторное свидетельство о заключении брака (супружества) с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
10,Семья,Композитная услуга «Рождение ребенка»,/cms/ru/online-services/for_citizen/composite,"Результат оказания услуги
Получение свидетельства о регистрации рождения либо мотивированный ответ об отказе.
Получение уведомления о назначении (или об отказе) пособия на рождение ребенка.
"
11,Семья,Корректировка актов РАГС,/cms/ru/online-services/for_citizen/pass_sr18,"Результат оказания услуги
Уведомление об актуализации сведений в ИС ЗАГС или письменный мотивированный ответ об отказе в оказании государственной услуги
"
12,Семья,"Назначение, возврат и размер единовременной денежной выплаты в связи с усыновлением ребенка-сироты и (или) ребенка, оставшегося без попечения родителей",/cms/ru/online-services/for_citizen/pass82_mon,"Результат оказания услуги
Решение о назначении единовременной денежной выплаты в связи с усыновлением ребенка-сироты и (или) ребенка, оставшегося без попечения родителей, либо мотивированный ответ об отказе в оказании государственной услуги.

"
13,Семья,Передача ребенка (детей) на воспитание в приемную семью и назначение выплаты денежных средств на их содержание,/cms/ru/online-services/for_citizen/pass82-1_mon,"Результат оказания услуги
Уведомление о заключении договора о передаче ребенка (детей) на воспитание в приемную семью и решение о назначении выплаты денежных средств на их содержание либо мотивированный ответ об отказе в оказании государственной услуги.

"
14,Семья,"Передача ребенка (детей) на патронатное воспитание и назначение выплаты денежных средств на содержание ребенка (детей), переданного патронатным воспитателям",/cms/ru/online-services/for_citizen/pass77_mon,"Результат оказания услуги
Уведомление о заключении договора о передаче ребенка (детей) на патронатное воспитание и решение о назначении денежных средств, выделяемых патронатным воспитателям на содержание ребенка (детей) либо мотивированный ответ об отказе в оказании государственной услуги.
"
15,Семья,Подача заявки на выдачу повторного свидетельства о смерти,/cms/ru/online-services/for_citizen/pass220_mu,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
16,Семья,Подача заявки на выдачу справки о брачной правоспособности,/cms/ru/online-services/for_citizen/pass108-3_mw,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
17,Семья,Подача заявки на повторное свидетельство о заключении брака,/cms/ru/online-services/for_citizen/e_021,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
18,Семья,Подача заявки на повторное свидетельство о расторжении брака,/cms/ru/online-services/for_citizen/e_023,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
19,Семья,Подача заявки на повторное свидетельство о рождении,/cms/ru/online-services/for_citizen/e_024,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
20,Семья,Получение свидетельства о рождении ребенка,/cms/ru/online-services/for_citizen/pass014_mu,"Результат оказания услуги
Свидетельство о рождении, повторное свидетельство о рождении с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги.
"
21,Семья,Получение справки о заключении брака,/cms/ru/online-services/for_citizen/e_019,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал.
"
22,Семья,Получение справки о расторжении брака,/cms/ru/online-services/for_citizen/e_018,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал.
"
23,Семья,Получение справки о рождении,/cms/ru/online-services/for_citizen/e_020,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал.
"
24,Семья,Пособие лицам воспитывающим ребенка с инвалидностью,/cms/ru/online-services/for_citizen/pass158_mtszn,"Результат оказания услуги
Уведомление о назначении пособия.
На портале уведомление о назначении пособий, а также информация о назначении пособий направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного ЭЦП уполномоченного лица услугодателя.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя.
При оказании услуги через проактивную услугу результат оказания услуги предоставляется посредством sms-оповещения на мобильный телефон услугополучателя.
"
25,Семья,Пособия на рождение ребенка,/cms/ru/online-services/for_citizen/pass156_mtszn,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери дохода в связи с уходом за ребенком по достижении им возраста полутора лет.
На портале: электронное уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери дохода в связи с уходом за ребенком по достижении им возраста полутора лет, удостоверенное ЭЦП руководителя филиала Фонда, направленное в ""личный кабинет"" заявителя на портал.
При оказании через проактивную услугу: Sms-оповещение на мобильный телефон заявителя.
"
26,Семья,Постановка на очередь детей дошкольного возраста (до 6 лет) для направления в дошкольные организации,/cms/ru/online-services/for_citizen/037pass_mon,"Результат оказания услуги
Уведомление о постановке в очередь (в произвольной форме) либо мотивированный ответ об отказе в оказании государственной услуги.
"
27,Семья,"Постановка на учет лиц, желающих усыновить детей",/cms/ru/online-services/for_citizen/pass79_mon,"Результат оказания услуги
Уведомление о готовности заключения возможности (невозможности) быть кандидатом(ами) в усыновители по форме согласно приложению к настоящему стандарту государственной услуги либо мотивированный ответ об отказе в оказании государственной услуги.
"
28,Семья,Прием документов для предоставления психолого-педагогической поддержки детям в организациях образования,/cms/ru/online-services/for_citizen/pass59-60_mon,"Результат оказания услуги
1) Выдача справки по форме.
2)  Заключение  либо мотивированный ответ об отказе в оказании государственной услуги.

"
29,Семья,Прикрепление к поликлинике,/cms/ru/online-services/for_citizen/494pass_mz,"Результат оказания услуги
1.  Уведомление о прикреплении в форме электронного документа, подписанной электронной цифровой подписью.
2. Мотивированный отказ.
"
30,Семья,Расторжение брака,/cms/ru/online-services/for_citizen/pass017_mu,"Результат оказания услуги
Свидетельство о государственной регистрации расторжения брака (супружества), повторное свидетельство о государственной регистрации расторжения брака (супружества) или мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов.
"
31,Семья,Регистрация смерти,/cms/ru/online-services/for_citizen/pass015_mu,"Результат оказания услуги
1) Свидетельство или справка о смерти, повторное свидетельство о смерти с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги.
"
32,Семья,Уведомление о государственной регистрации смерти,/cms/ru/online-services/for_citizen/death_registration,"Результат оказания услуги
Уведомление о государственной регистрации смерти или мотивированный ответ об отказе.
"
33,Семья,"Установление опеки или попечительства над ребенком-сиротой (детьми-сиротами) и ребенком (детьми), оставшимся без попечения родителей и назначение выплаты пособия опекунам или попечителям на содержание ребенка-сироты (детей-сирот) и ребенка (детей), оставшегося без попечения родителей",/cms/ru/online-services/for_citizen/181pass_mon,"Результат оказания услуги
1) Приказ об установлении опеки или попечительства отдела (управления) образования районов и городов областного значения, городов республиканского значения и столицы либо мотивированный ответ об отказе в оказании государственной услуги.
2) Решение о назначении пособия опекунам или попечителям на содержание ребенка-сироты (детей–сирот) и ребенка (детей), оставшегося без попечения родителей, либо мотивированный ответ об отказе в оказании государственной услуги.
"
34,Здравоохранение,Выдача больничного листа,/cms/ru/online-services/for_citizen/2F129_mzsr,"Результат оказания услуги
Лист о временной нетрудоспособности либо мотивированный ответ об отказе в оказании государственной услуги.
"
35,Здравоохранение,Выдача больничной справки,/cms/ru/online-services/for_citizen/pass_130mz,"Результат оказания услуги
Справка о временной нетрудоспособности либо мотивированный ответ об отказе в оказании государственной услуги.
"
36,Здравоохранение,Выдача выписки из медицинской карты стационарного больного,/cms/ru/online-services/for_citizen/2F131_mzsr,"Результат оказания услуги
При непосредственном обращении к услугодателю – выписка из медицинской карты стационарного больного в бумажном виде, либо мотивированный отказ в оказании государственной услуги.
На портал – выписка из медицинской карты стационарного больного в форме электронного документа подписанного ЭЦП услугодателя, либо мотивированный отказ в оказании государственной услуги.
"
37,Здравоохранение,Выдача медицинской справки по форме № 075/у,/cms/ru/online-services/for_citizen/pass_163_1mz,"Результат оказания услуги
Медицинская справка (врачебное профессионально-консультативное заключение), выданная по форме № 075/у либо мотивированный ответ об отказе в оказании государственной услуги.
"
38,Здравоохранение,Выдача направления пациентам на госпитализацию в стационар,/cms/ru/online-services/for_citizen/pass132-4_mz,"Результат оказания услуги
Направление на госпитализацию в стационар, выданное по форме 001-3/у, утвержденной приказом № ҚР ДСМ-175/2020, либо мотивированный ответ об отказе в оказании государственной услуги.
Через портал - результат оказания государственной услуги направляется в личный кабинет услугополучателя на портале в форме электронного документа подписанного ЭЦП услугодателя.
"
39,Здравоохранение,Выдача санаторно-курортной карты,/cms/ru/online-services/for_citizen/pass_186-1_mz,"Результат оказания услуги
При непосредственном обращении к услугодателю- санаторно–курортная карта, выданная по форме 069/у, утвержденной приказом исполняющего обязанности Министра здравоохранения Республики Казахстан от 30 октября 2020 года № ҚР ДСМ-175/2020 ""Об утверждении форм учетной документации в области здравоохранения"", либо мотивированный ответ об отказе в оказании государственной услуги.
На портал - санаторно–курортная карта, выданное по форме 069/у электронного документа подписанного ЭЦП услугодателя, либо мотивированный отказ в оказании государственной услуги.
"
